From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
x02E634;x90f80a;sea;-1;6933;1741;6940;1746;;
xf001e2;x31f0e0;sea;-1;6906;1797;6905;1806;;
xb061c0;x36b2e3;sea;-1;4424;2607;4417;2613;;
x5299ca;x9c52ca;sea;-1;2707;1832;2708;1843;;
x9c52ca;x70f001;sea;-1;2703;1851;2699;1863;;
x70f001;x33895b;sea;-1;2697;1869;2691;1881;;
x33895b;x335389;sea;-1;2689;1885;2682;1894;;
xd496b1;xf0f001;sea;-1;2712;1768;2691;1788;;
x89337a;xecc061;sea;-1;2665;1912;2659;1927;;
xf0d000;xae5874;sea;-1;7038;2292;7045;2297;;
x1e9a93;x2010c0;sea;-1;7330;2624;7332;2642;;
x2ee734;x946a22;sea;-1;6769;1678;6768;1699;;
x7a4df4;xf94d86;sea;-1;6919;1465;6930;1468;;
xf0ce19;xf88172;sea;-1;6968;1456;6976;1438;;
xaf6607;x7a7a6e;sea;-1;7018;1443;7013;1475;;
x908010;x58a658;sea;-1;6874;1394;6874;1403;;
xb14d58;x63e362;sea;-1;6842;1376;6837;1388;;
x100090;x900090;sea;-1;6750;1315;6760;1313;;
x4ebc79;x72c072;sea;-1;2320;2087;2332;2094;;
x1e761e;x535b49;sea;-1;2244;1957;2314;1933;;
x71414d;xa7f7e3;sea;-1;7541;1683;7520;1709;;Micronesia
x71414d;x6e4206;sea;-1;7562;1680;7593;1636;;Micronesia
xf5dbbf;x80c011;sea;-1;7913;1723;7944;1737;;Micronesia
xf5dbbf;xcd1ea0;sea;-1;7906;1727;7895;1771;;Micronesia
x2190A0;xC56452;sea;-1;4696;2450;4690;2434;;Aegean
xE011A0;xC56452;sea;-1;4711;2395;4707;2399;;Aegean
xa010a0;x6090a0;sea;-1;4655;2422;4660;2419;;Aegean
x6960a0;x6090a0;sea;-1;4675;2380;4670;2396;;Aegean
x95abdb;xc56452;sea;-1;4696;2428;4690;2432;;Aegean
x702020;xedecfb;sea;-1;4657;2494;4658;2500;;Aegean
x61a3e3;x53fa6e;sea;-1;8155;1107;8163;1118;;Fiji
x5178bc;x504090;sea;-1;7909;1143;7902;1158;;Vanuatu
x3b8eeb;xd04090;sea;-1;7679;1345;7684;1327;;South Solomon Islands
xd04090;x2b5e69;sea;-1;7691;1320;7705;1339;;South Solomon Islands
x2b5e69;x898945;sea;-1;7736;1318;7736;1301;;South Solomon Islands
x898945;xf5f405;sea;-1;7758;1291;7767;1302;;South Solomon Islands
x898945;x874589;sea;-1;7760;1287;7778;1274;;South Solomon Islands
x769456;x9b6d87;sea;-1;3477;2439;3507;2420;;Azores
x655491;x20ef01;sea;-1;3720;2172;3737;2165;;Canary Islands
x20ef01;x64c2b3;sea;-1;3744;2165;3767;2169;;Canary Islands
x64c2b3;xc2c164;sea;-1;3779;2183;3781;2189;;Canary Islands
xe8e7a2;xa2e8c5;sea;-1;3542;1855;3556;1858;;Cape Verde
xa2e8c5;xa2c3e8;sea;-1;3560;1857;3568;1860;;Cape Verde
xc00010;xa7f8a1;sea;-1;197;1199;211;1193;;Tonga
xf0f061;xf0d080;sea;-1;7015;2133;7034;2161;;Ryukyu Islands
x0181b0;xcbc996;sea;-1;748;885;757;883;;Tahiti
xcbc996;x888659;sea;-1;759;881;757;876;;Tahiti
xcbc996;x998293;sea;-1;760;882;766;882;;Tahiti
x998293;x59885e;sea;-1;770;878;772;873;;Tahiti
x59885e;x98c69c;sea;-1;777;869;782;865;;Tahiti
x59885e;x98c3c6;sea;-1;776;870;782;877;;Tahiti
x98c69c;x5e2464;sea;-1;789;856;791;849;;Tahiti
x98c3c6;xc6b798;sea;-1;787;878;793;873;;Tahiti
x5e2464;x643424;sea;-1;794;849;801;847;;Tahiti
xc6b798;xba6e55;sea;-1;802;860;809;858;;Tahiti
x643424;xba6e55;sea;-1;806;850;810;857;;Tahiti
xba6e55;xf1dbf3;sea;-1;813;857;821;857;;Tahiti
xf1dbf3;x887771;sea;-1;835;852;839;859;;Tahiti
xf1dbf3;x728871;sea;-1;833;850;836;844;;Tahiti
x887771;xdbae9f;sea;-1;844;859;854;864;;Tahiti
x887771;x2a4340;sea;-1;845;858;847;852;;Tahiti
x728871;x718885;sea;-1;843;837;851;831;;Tahiti
x718885;x42432a;sea;-1;853;829;855;822;;Tahiti
x42432a;x7d7d62;sea;-1;859;818;861;813;;Tahiti
x7d7d62;x54bb3d;sea;-1;862;811;878;820;;Tahiti
x54bb3d;x2c2e13;sea;-1;891;818;894;824;;Tahiti
x37058f;xb19fd2;sea;-1;5286;1791;5261;1780;;
x1b9953;xb0f0b0;sea;-1;6819;1769;6830;1780;;
x99d030;xf0014a;sea;-1;6878;1664;6879;1671;;
x007040;xc58daf;sea;-1;2366;2346;2360;2355;;Outer Banks
xad6f70;xfc7f77;sea;-1;3521;3593;3522;3587;;Greenland
x20083f;x705adb;sea;-1;3555;3575;3555;3570;;Greenland
x705adb;x8ac169;sea;-1;3552;3568;3552;3563;;Greenland
x8ac169;x93f601;sea;-1;3540;3560;3532;3557;;Greenland
x8d1714;xd5115e;sea;-1;2867;3454;2870;3461;;Greenland
x485920;x28ef12;sea;-1;2876;3493;2887;3497;;Greenland
x28ef12;xc20a82;sea;-1;2896;3499;2897;3504;;Greenland
xd20a8f;x3e3dbe;sea;-1;2929;3442;2931;3436;;Greenland
x5d9349;x325620;sea;-1;2847;3541;2841;3541;;Greenland
x902089;x342080;sea;-1;4297;1596;4303;1606;;
x4ebc79;x686279;sea;-1;2318;2077;2324;2073;;Bahamas
x72c072;x7a6fa3;sea;-1;2437;2029;2448;2016;;Bahamas
x30f080;x606060;sea;-1;2619;1920;2622;1934;;West Indies
xc7d17e;x5691e1;sea;-1;1020;2991;1021;2985;;Alaska
x505ae0;x2768f8;sea;-1;5249;2116;5259;2111;;Abu Dhabi
x8911a4;x904090;sea;-1;7342;1305;7341;1287;;
x45ad0b;xc00000;sea;-1;341;2893;324;2885;;
xc5ce93;x939ace;sea;-1;2465;2507;2465;2514;;Rhode Island
x015121;x3a8b51;sea;-1;4424;2366;4420;2370;;Malta
xf05001;x70cf00;sea;-1;7081;2319;7080;2314;;Kyushu
x7c9beb;x1151c0;sea;-1;7149;2324;7146;2331;;Shikoku
x31968A;x74BF34;special;-1;3911;3487;4392;3363;;Jan Mayen
xF0A020;x30A060;sea;-1;4752;2504;4760;2504;;Constantinople
